year,timecode,return
2007,4Y,0
2008,3Y,0
2008,4Y,0
2009,2Y,-15.41002418
2009,3Y,-16.23605097
2009,4Y,-16.23605097
2010,1Y,17.81502323
2010,2Y,19.07967497
2010,3Y,19.07967497
2010,4Y,19.07967497
2011,CY,20.14364414
2011,1Y,21.44467444
2011,2Y,21.44467444
2011,3Y,21.44467444
2011,4Y,21.44467444
2012,CY,2.859562743
2012,1Y,2.859562743
2012,2Y,2.859562743
2012,3Y,2.859562743
2012,4Y,2.692241786
2013,CY,9.823415734
2013,1Y,9.823415734
2013,2Y,9.823415734
2013,3Y,9.501880778
2014,CY,18.89338224
2014,1Y,18.89338224
2014,2Y,18.34116356
2015,CY,3.841056097
2015,1Y,3.09286644
2016,CY,1.080531286
