year,timecode,return
2011,CY,17.837282675732986
2010,1Y,14.853399369935703
2009,2Y,-17.980368841076974
2008,3Y,0
2007,4Y,0
2012,CY,1.5717333244515843
2011,1Y,17.83728303199907
2010,2Y,14.853399369935703
2009,3Y,-17.980368841076974
2008,4Y,0
2013,CY,13.389922480679784
2012,1Y,1.5790927536202521
2011,2Y,17.83728303199907
2010,3Y,14.853399369935703
2009,4Y,-17.980368841076974
2014,CY,16.381755394389547
2013,1Y,13.389922480679784
2012,2Y,1.5790927536202521
2011,3Y,17.83728303199907
2010,4Y,14.853399369935703
2015,CY,6.212665340384106
2014,1Y,16.381755394389547
2013,2Y,13.389922480679784
2012,3Y,1.5790927536202521
2011,4Y,17.83728303199907
2016,CY,-3.1923552762945118
2015,1Y,6.212665340384106
2014,2Y,16.381755394389547
2013,3Y,13.389922480679784
2012,4Y,1.5790927536202521
