year,timecode,return
2011,CY,20.691798633919063
2010,1Y,8.396248750159307
2009,2Y,-17.756433866508047
2008,3Y,0
2007,4Y,0
2012,CY,0.7840537578421354
2011,1Y,20.691652268467358
2010,2Y,8.39621824623321
2009,3Y,-17.756433866508047
2008,4Y,0
2013,CY,11.584526118550144
2012,1Y,0.7840537578421354
2011,2Y,20.691652268467358
2010,3Y,8.39621824623321
2009,4Y,-17.756433866508047
2014,CY,15.967463146061393
2013,1Y,11.584526118550144
2012,2Y,0.7840537578421354
2011,3Y,20.691652268467358
2010,4Y,8.39621824623321
2015,CY,5.739588720222511
2014,1Y,15.967463146061393
2013,2Y,11.584526118550144
2012,3Y,0.7840537578421354
2011,4Y,20.691652268467358
2016,CY,-4.246213194966778
2015,1Y,5.739588720222511
2014,2Y,15.967463146061393
2013,3Y,11.584526118550144
2012,4Y,0.7840537578421354
