year,timecode,return
2011,CY,13.364281329209895
2010,1Y,6.260942882760023
2009,2Y,-14.86587274092679
2008,3Y,0
2007,4Y,0
2012,CY,-0.9783303443200638
2011,1Y,13.364281329209895
2010,2Y,6.260942882760023
2009,3Y,-14.86587274092679
2008,4Y,0
2013,CY,7.5057738229240725
2012,1Y,-0.9783303443200638
2011,2Y,13.364281329209895
2010,3Y,6.260942882760023
2009,4Y,-14.86587274092679
2014,CY,14.155557626510662
2013,1Y,8.617497843085609
2012,2Y,-1.0757707823328253
2011,3Y,14.29298064951469
2010,4Y,6.6425517125272515
2015,CY,1.987837827228532
2014,1Y,14.155557626510662
2013,2Y,8.617497843085609
2012,3Y,-1.0757707823328253
2011,4Y,14.29298064951469
2016,CY,-1.7443572741366447
2015,1Y,1.987837827228532
2014,2Y,14.155557626510662
2013,3Y,8.617497843085609
2012,4Y,-1.0757707823328253
