year,timecode,return
2011,CY,20.1436441351385
2010,1Y,17.815023233687153
2009,2Y,-15.410024182609773
2008,3Y,0
2007,4Y,0
2012,CY,2.8595627425766197
2011,1Y,21.44467443717338
2010,2Y,19.07967497005783
2009,3Y,-16.236050971024685
2008,4Y,0
2013,CY,9.82341573356385
2012,1Y,2.8595627425766197
2011,2Y,21.44467443717338
2010,3Y,19.07967497005783
2009,4Y,-16.236050971024685
2014,CY,18.893382236857754
2013,1Y,9.82341573356385
2012,2Y,2.8595627425766197
2011,3Y,21.44467443717338
2010,4Y,19.07967497005783
2015,CY,3.841056096967401
2014,1Y,18.893382236857754
2013,2Y,9.82341573356385
2012,3Y,2.8595627425766197
2011,4Y,21.44467443717338
2016,CY,1.0805312863211194
2015,1Y,3.0928664396140357
2014,2Y,18.34116355941997
2013,3Y,9.501880777872831
2012,4Y,2.692241786102397
