year,timecode,return
2007,4Y,0
2008,3Y,0
2008,4Y,0
2009,2Y,-33.19021792
2009,3Y,-33.19021792
2009,4Y,-33.19021792
2010,1Y,16.11335281
2010,2Y,16.11335281
2010,3Y,16.11335281
2010,4Y,16.11335281
2011,CY,13.77421679
2011,1Y,13.77421679
2011,2Y,13.77421679
2011,3Y,13.77421679
2011,4Y,13.77421679
2012,CY,-3.932163848
2012,1Y,-3.932163848
2012,2Y,-3.932163848
2012,3Y,-3.932163848
2012,4Y,-3.932163848
2013,CY,15.06450595
2013,1Y,15.06450595
2013,2Y,15.06450595
2013,3Y,15.06450595
2014,CY,10.74698717
2014,1Y,10.74698717
2014,2Y,10.74698717
2015,CY,4.741854466
2015,1Y,4.741854466
2016,CY,-2.645257916
