year,timecode,return
2011,CY,11.70569520499013
2010,1Y,5.545053711129944
2009,2Y,-17.140517576792092
2008,3Y,0
2007,4Y,0
2012,CY,3.3937655867667713
2011,1Y,11.70569520499013
2010,2Y,5.545053711129944
2009,3Y,-17.140517576792092
2008,4Y,0
2013,CY,7.582397308036775
2012,1Y,3.345327963317846
2011,2Y,11.70569520499013
2010,3Y,5.545053711129944
2009,4Y,-17.140517576792092
2014,CY,11.631070898356004
2013,1Y,7.582397308036775
2012,2Y,3.345327963317846
2011,3Y,11.70569520499013
2010,4Y,5.545053711129944
2015,CY,4.4252069400589225
2014,1Y,11.631070898356004
2013,2Y,7.582397308036775
2012,3Y,3.345327963317846
2011,4Y,11.70569520499013
2016,CY,-1.9603318878511522
2015,1Y,4.4252069400589225
2014,2Y,11.631070898356004
2013,3Y,7.582397308036775
2012,4Y,3.345327963317846
