year,timecode,return
2011,CY,21.491032342113975
2010,1Y,12.37729131592088
2009,2Y,-19.675193979720476
2008,3Y,0
2007,4Y,0
2012,CY,0.9152747488603237
2011,1Y,21.491032342113975
2010,2Y,12.37729131592088
2009,3Y,-19.675193979720476
2008,4Y,0
2013,CY,12.521710695880252
2012,1Y,0.9152747488603237
2011,2Y,21.491032342113975
2010,3Y,12.37729131592088
2009,4Y,-19.675193979720476
2014,CY,16.82004849173966
2013,1Y,12.521710695880252
2012,2Y,0.9152747488603237
2011,3Y,21.491032342113975
2010,4Y,12.37729131592088
2015,CY,3.394992041605151
2014,1Y,16.82004849173966
2013,2Y,12.521710695880252
2012,3Y,0.9152747488603237
2011,4Y,21.491032342113975
2016,CY,-1.6836571757730028
2015,1Y,3.394992041605151
2014,2Y,16.82004849173966
2013,3Y,12.521710695880252
2012,4Y,0.9152747488603237
