year,timecode,return
2011,CY,18.720410973557094
2010,1Y,9.963829444155422
2009,2Y,-11.954828917274737
2008,3Y,0
2007,4Y,0
2012,CY,-1.0298608242792455
2011,1Y,16.855680160758265
2010,2Y,10.477577733409756
2009,3Y,-12.670998882476965
2008,4Y,0
2013,CY,10.938216156067243
2012,1Y,-1.178618814154006
2011,2Y,16.855680160758265
2010,3Y,10.477577733409756
2009,4Y,-12.670998882476965
2014,CY,16.175670867097036
2013,1Y,10.938216156067243
2012,2Y,-1.178618814154006
2011,3Y,16.855680160758265
2010,4Y,10.477577733409756
2015,CY,0.06207976591979996
2014,1Y,16.175670867097036
2013,2Y,10.938216156067243
2012,3Y,-1.178618814154006
2011,4Y,16.855680160758265
2016,CY,-4.058674771537466
2015,1Y,0.12380466010782787
2014,2Y,16.175670867097036
2013,3Y,10.938216156067243
2012,4Y,-1.178618814154006
