year,timecode,return
2007,4Y,0
2008,3Y,-23.5361897
2008,4Y,-23.5361897
2009,2Y,17.41320428
2009,3Y,17.41320428
2010,1Y,16.7400507
2010,2Y,16.7400507
2010,4Y,17.41320428
2011,CY,0.850455452
2011,1Y,0.850455452
2011,3Y,16.7400507
2011,4Y,16.7400507
2012,CY,8.727905674
2012,2Y,0.850455452
2012,3Y,0.850455452
2012,4Y,0.850455452
2013,1Y,8.727905674
2013,2Y,8.727905674
2013,3Y,8.727905674
2014,CY,11.30255888
2014,1Y,11.30255888
2014,2Y,11.30255888
2015,CY,7.450561928
2015,1Y,7.506280044
2016,CY,-1.862738702
