year,timecode,return
2011,CY,21.039914354251888
2010,1Y,10.803373317066244
2009,2Y,-20.665272114017096
2008,3Y,0
2007,4Y,0
2012,CY,2.799532984091599
2011,1Y,21.039914354251888
2010,2Y,10.803373317066244
2009,3Y,-20.665272114017096
2008,4Y,0
2013,CY,11.445243879464158
2012,1Y,2.799532984091599
2011,2Y,21.039914354251888
2010,3Y,10.803373317066244
2009,4Y,-20.665272114017096
2014,CY,19.044130805024775
2013,1Y,11.445243879464158
2012,2Y,2.799532984091599
2011,3Y,21.039914354251888
2010,4Y,10.803373317066244
2015,CY,8.083773603470014
2014,1Y,19.044130805024775
2013,2Y,11.445243879464158
2012,3Y,2.799532984091599
2011,4Y,21.039914354251888
2016,CY,-0.45377832621029535
2015,1Y,8.083773603470014
2014,2Y,19.044130805024775
2013,3Y,11.445243879464158
2012,4Y,2.799532984091599
