year,timecode,return
2011,CY,18.201041043382432
2010,1Y,19.782509109164312
2009,2Y,-20.617972229106236
2008,3Y,0
2007,4Y,0
2012,CY,8.668905151738223
2011,1Y,18.036894595858733
2010,2Y,18.477745145517822
2009,3Y,-19.513595293326823
2008,4Y,0
2013,CY,12.028049054496678
2012,1Y,8.668905151738223
2011,2Y,18.036894595858733
2010,3Y,18.477745145517822
2009,4Y,-19.513595293326823
2014,CY,16.590248593139012
2013,1Y,12.028049054496678
2012,2Y,8.668905151738223
2011,3Y,18.036894595858733
2010,4Y,18.477745145517822
2015,CY,-1.3076145392249792
2014,1Y,16.590248593139012
2013,2Y,12.028049054496678
2012,3Y,8.668905151738223
2011,4Y,18.036894595858733
2016,CY,-3.183236615151403
2015,1Y,-1.3076145392249792
2014,2Y,16.590248593139012
2013,3Y,12.028049054496678
2012,4Y,8.668905151738223
