year,timecode,return
2007,4Y,0
2008,3Y,-33.37913739
2008,4Y,-33.37913739
2009,2Y,28.71327041
2009,3Y,28.71327041
2009,4Y,28.71327041
2010,1Y,10.43394377
2010,2Y,10.61654583
2010,3Y,10.61654583
2010,4Y,10.61654583
2011,CY,-3.126497721
2011,1Y,-3.126497721
2011,2Y,-3.17769829
2011,3Y,-3.17769829
2012,CY,8.91413783
2012,1Y,8.91413783
2012,2Y,9.071027521
2012,4Y,9.071027521
2013,CY,17.67804241
2013,1Y,17.67804241
2013,3Y,17.97578849
2014,CY,6.099920409
2014,2Y,6.19193181
2015,1Y,1.39890033
2016,CY,6.409909525
