year,timecode,return
2007,4Y,0
2008,3Y,0
2008,4Y,0
2009,2Y,-21.95542548
2009,3Y,-21.95542548
2009,4Y,-21.95542548
2010,1Y,8.47682292
2010,2Y,8.47682292
2010,3Y,8.47682292
2010,4Y,8.47682292
2011,CY,13.54669112
2011,1Y,13.54669112
2011,2Y,13.54669112
2011,3Y,13.54669112
2011,4Y,13.54669112
2012,CY,-1.568531831
2012,1Y,-1.568531831
2012,2Y,-1.568531831
2012,3Y,-1.568531831
2012,4Y,-1.568531831
2013,CY,10.28400708
2013,1Y,10.28400708
2013,2Y,10.28400708
2013,3Y,10.28400708
2014,CY,13.30036168
2014,1Y,13.30036168
2014,2Y,13.30036168
2015,CY,3.983577374
2015,1Y,3.983577374
2016,CY,-2.559404422
