year,timecode,return,Column1
2007,4Y,0,
2008,3Y,0,
2008,4Y,0,
2009,2Y,-19.54244558,
2009,3Y,-19.54244558,
2009,4Y,-19.54244558,
2010,1Y,8.446953983,
2010,2Y,8.446953983,
2010,3Y,8.446953983,
2010,4Y,8.446953983,
2011,CY,17.58810085,
2011,1Y,17.58810085,
2011,2Y,17.58810085,
2011,3Y,17.58810085,
2011,4Y,17.58810085,
2012,CY,1.872219209,2.3
2012,1Y,1.871921446,
2012,2Y,1.871921446,
2012,3Y,1.871921446,
2012,4Y,1.871921446,
2013,CY,10.05195723,9.3
2013,1Y,10.05195723,
2013,2Y,10.05195723,
2013,3Y,10.05195723,
2014,CY,16.04545238,15.1
2014,1Y,16.04545238,
2014,2Y,16.04545238,
2015,CY,2.370374103,
2015,1Y,2.370374103,
2016,CY,-0.188857672,0.1
