year,timecode,return
2011,CY,19.99924731901584
2010,1Y,13.020300613800979
2009,2Y,-24.04938582394458
2008,3Y,0
2007,4Y,0
2012,CY,-4.031403394297629
2011,1Y,19.99924731901584
2010,2Y,13.020300613800979
2009,3Y,0
2008,4Y,0
2013,CY,14.394465642212005
2012,1Y,-4.031403394297629
2011,2Y,19.99924731901584
2010,3Y,13.020300613800979
2009,4Y,-24.04938582394458
2014,CY,12.906803026226557
2013,1Y,14.394465642212005
2012,2Y,-4.031403394297629
2011,3Y,19.99924731901584
2010,4Y,13.020142206428424
2015,CY,3.8003642796958697
2014,1Y,12.906803026226557
2013,2Y,14.394465642212005
2012,3Y,-4.031403394297629
2011,4Y,19.99924731901584
2016,CY,-2.7317934910466684
2015,1Y,3.8003642796958697
2014,2Y,12.906803026226557
2013,3Y,14.394465642212005
2012,4Y,-4.031403394297629
