year,timecode,return
2007,4Y,0
2008,3Y,0
2008,4Y,0
2009,2Y,-29.04266861
2009,3Y,-29.04266861
2009,4Y,-29.04266861
2010,1Y,19.89496042
2010,2Y,19.89496042
2010,3Y,19.89496042
2010,4Y,19.89496042
2011,CY,17.2181679
2011,1Y,17.2181679
2011,2Y,17.2181679
2011,3Y,17.2181679
2011,4Y,17.2181679
2012,CY,2.129449722
2012,1Y,2.129449722
2012,2Y,2.129449722
2012,3Y,2.129449722
2012,4Y,2.129449722
2013,CY,10.40211069
2013,1Y,10.40211069
2013,2Y,10.40211069
2013,3Y,10.40211069
2014,CY,15.1149114
2014,1Y,15.1149114
2014,2Y,15.1149114
2015,CY,2.006076503
2015,1Y,2.006076503
2016,CY,1.292451806
