year,timecode,return
2011,CY,43.732485073861774
2010,1Y,14.585698930163648
2009,2Y,-18.60911895409233
2008,3Y,0
2007,4Y,0
2012,CY,1.0864896652925364
2011,1Y,43.732485073861774
2010,2Y,14.585698930163648
2009,3Y,-18.60911895409233
2008,4Y,0
2013,CY,15.626460068669418
2012,1Y,1.0864896652925364
2011,2Y,43.732485073861774
2010,3Y,14.585698930163648
2009,4Y,-18.60911895409233
2014,CY,17.285806281104712
2013,1Y,15.626460068669418
2012,2Y,1.0864896652925364
2011,3Y,43.732485073861774
2010,4Y,14.585698930163648
2015,CY,5.462957061654399
2014,1Y,17.285806281104712
2013,2Y,15.626460068669418
2012,3Y,1.0864896652925364
2011,4Y,43.732485073861774
2016,CY,-3.5351847993230723
2015,1Y,5.462957061654399
2014,2Y,17.285806281104712
2013,3Y,15.626460068669418
2012,4Y,1.0864896652925364
