year,timecode,return
2007,4Y,0
2008,3Y,0
2008,4Y,0
2009,2Y,-18.78462736
2009,3Y,-18.78462736
2009,4Y,-18.78462736
2010,1Y,14.71009467
2010,2Y,14.71009467
2010,3Y,14.71009467
2010,4Y,14.71009467
2011,CY,18.09966504
2011,1Y,18.09966504
2011,2Y,18.09966504
2011,3Y,18.09966504
2011,4Y,18.09966504
2012,CY,-1.099515813
2012,1Y,-1.099515813
2012,2Y,-1.099515813
2012,3Y,-1.099515813
2012,4Y,-1.099515813
2013,CY,8.237584488
2013,1Y,8.237584488
2013,2Y,8.237584488
2013,3Y,8.237584488
2014,CY,16.46423912
2014,1Y,16.46423912
2014,2Y,16.46423912
2015,CY,5.303154195
2015,1Y,5.303154195
2016,CY,-1.402844721
