year,timecode,return
2011,CY,19.644207608777602
2010,1Y,12.415900961754422
2009,2Y,-20.75215653733824
2008,3Y,0
2007,4Y,0
2012,CY,1.5226323761954146
2011,1Y,19.644207608777602
2010,2Y,12.415900961754422
2009,3Y,-20.75215653733824
2008,4Y,0
2013,CY,12.01393798457635
2012,1Y,1.5226323761954146
2011,2Y,19.644207608777602
2010,3Y,12.415900961754422
2009,4Y,-20.75215653733824
2014,CY,18.85894289967778
2013,1Y,12.01393798457635
2012,2Y,1.5226323761954146
2011,3Y,19.644207608777602
2010,4Y,12.415900961754422
2015,CY,4.479002806661446
2014,1Y,18.85894289967778
2013,2Y,12.01393798457635
2012,3Y,1.5226323761954146
2011,4Y,19.644207608777602
2016,CY,-3.230469560691103
2015,1Y,4.479002806661446
2014,2Y,18.85894289967778
2013,3Y,12.01393798457635
2012,4Y,1.5226323761954146
