year,timecode,return
2011,CY,19.657265114621342
2010,1Y,14.882198045346426
2009,2Y,-17.562841028539832
2008,3Y,0
2007,4Y,0
2012,CY,-0.16688899083500894
2011,1Y,19.657265114621342
2010,2Y,14.882198045346426
2009,3Y,-17.562841028539832
2008,4Y,0
2013,CY,14.190496765968676
2012,1Y,-0.16688899083500894
2011,2Y,19.657265114621342
2010,3Y,14.882198045346426
2009,4Y,-17.562841028539832
2014,CY,17.934414972632194
2013,1Y,14.190496765968676
2012,2Y,-0.16688899083500894
2011,3Y,19.657265114621342
2010,4Y,14.882198045346426
2015,CY,2.6461521166395077
2014,1Y,17.934414972632194
2013,2Y,14.190496765968676
2012,3Y,-0.16688899083500894
2011,4Y,19.657265114621342
2016,CY,-1.128643890142393
2015,1Y,2.6461521166395077
2014,2Y,17.934414972632194
2013,3Y,14.190496765968676
2012,4Y,-0.16682919282033626
