year,timecode,return
2007,4Y,0
2008,3Y,0
2008,4Y,0
2009,2Y,-22.23335582
2009,3Y,-22.23335582
2009,4Y,-22.23335582
2010,1Y,16.22375893
2010,2Y,16.22375893
2010,3Y,16.22375893
2010,4Y,16.22375893
2011,CY,16.45177758
2011,1Y,16.45177758
2011,2Y,16.45177758
2011,3Y,16.45177758
2011,4Y,16.45177758
2012,CY,-5.46878808
2012,1Y,-5.46878808
2012,2Y,-5.46878808
2012,3Y,-5.46878808
2012,4Y,-5.46878808
2013,CY,9.813674113
2013,1Y,9.813674113
2013,2Y,9.813674113
2013,3Y,9.813674113
2014,CY,10.77944513
2014,1Y,10.77944513
2014,2Y,10.77944513
2015,CY,8.651321259
2015,1Y,8.651321259
2016,CY,-2.642180229
